,name_of_state,latitude,longitude,child_labour,women
0,Andhra Pradesh,15.9129,79.74,404851,58828
1,Arunachal Pradesh,28.218,94.7278,5766,1440
2,Bihar,25.0961,85.3131,451590,28149
3,Chandigarh,30.7333,76.7794,3135,624
4,Chhattisgarh,21.2787,81.8661,63884,21278
5,Delhi,28.7041,77.1025,26473,130154
6,Goa,15.2993,74.124,6920,406
7,Gujarat,22.2587,71.1924,250318,60292
8,Haryana,29.0588,76.0856,53492,40523
9,Himachal Pradesh,31.1048,77.1734,15001,4098
10,Jammu and Kashmir,33.7782,76.5762,25528,12267
11,Jharkhand,23.6102,85.2799,90996,8127
12,Karnataka,15.3173,75.7139,249432,23847
13,Kerala,10.8505,76.2711,21757,38730
14,Ladakh,34.2996,78.2932,2015,210
15,Madhya Pradesh,22.9734,78.6569,286310,66646
16,Maharashtra,19.7515,75.7139,496916,125253
17,Manipur,24.6637,93.9063,11805,104
18,Mizoram,23.1645,92.9376,2793,318
19,Odisha,20.9517,85.0985,92087,41335
20,Puducherry,11.9416,79.8083,1421,568
21,Punjab,31.1471,75.3412,90353,7562
22,Rajasthan,27.0238,74.2179,252338,49429
23,Tamil Nadu,11.1271,78.6569,151437,17143
24,Telengana,18.1124,79.0193,2654,5231
25,Tripura,23.9408,91.9882,4998,4819
26,Uttar Pradesh,26.8467,80.9462,896301,63067
27,Uttarakhand,30.0668,79.0193,28098,3821
28,West Bengal,22.9868,87.855,234275,118437
29,Andaman and Nicobar Islands,11.7401,92.6586,1000,401
30,Assam,26.2006,92.9376,999,21475
